Portuguese;English
"Fiquei com muita vergonha.";"I was very embarrassed."
"Estou confuso com as instruções.";"I'm confused by the instructions."
"Estou orgulhoso do que você fez.";"I'm proud of what you did."
"Ele está com ciúmes.";"He is jealous."
"Sinto-me culpada por não ter ligado.";"I feel guilty for not having called."
"Estou exausto e sem paciência.";"I'm exhausted and out of patience."
"Eu me senti ofendido com o comentário.";"I felt offended by the comment."
"Hoje estou me sentindo otimista.";"Today I'm feeling optimistic."
"O que é isso?";"What is this?"
"Você pode me ajudar?";"Can you help me?"
"Onde fica o banheiro, por favor?";"Where is the bathroom, please?"
"Quanto custa?";"How much does it cost?"
"Que horas são?";"What time is it?"
"Desculpe, eu não entendi.";"Sorry, I didn't understand."
"Pode repetir, por favor?";"Can you repeat, please?"
"Pode falar mais devagar?";"Can you speak more slowly?"
"Como eu chego lá?";"How do I get there?"
"Preciso de ajuda com isto.";"I need help with this."
"Com licença, você tem um minuto?";"Excuse me, do you have a minute?"
"O que significa essa palavra?";"What does this word mean?"
"Você sabe onde eu posso encontrar um táxi?";"Do you know where I can find a taxi?"
"Me dá uma ajuda aqui, por favor?";"Give me a hand here, please?"
"Qual é a senha do Wi-Fi?";"What is the Wi-Fi password?"
"Poderia me informar onde é a saída?";"Could you tell me where the exit is?"
"Como assim?";"What do you mean?"
"Eu estou perdido.";"I'm lost."
"Você se importaria de me mostrar o caminho?";"Would you mind showing me the way?"
"Posso te fazer uma pergunta?";"Can I ask you a question?"
"Alguém pode me dar uma mãozinha?";"Can someone give me a little hand?"
"Tem algum problema se eu usar isto?";"Is there any problem if I use this?"
"Será que você poderia me ajudar?";"I wonder if you could help me?"
"Eu não sei como fazer isso.";"I don't know how to do this."
"Qual você recomenda?";"Which one do you recommend?"
"A que horas o museu fecha?";"What time does the museum close?"
"Poderia me dar um exemplo?";"Could you give me an example?"
"Desculpe o incômodo, mas preciso de ajuda.";"Sorry for the trouble, but I need help."
"Você entendeu o que eu disse?";"Did you understand what I said?"
"Ficou alguma dúvida?";"Are there any questions left?"
"Pode me trazer a conta, por favor?";"Can you bring me the bill, please?"
"Tem alguém aqui que fala inglês?";"Is there anyone here who speaks English?"
"Como se escreve o seu nome?";"How do you spell your name?"
"Eu não estou conseguindo conectar.";"I'm not managing to connect."
"Onde é o ponto de ônibus mais próximo?";"Where is the nearest bus stop?"
"Você aceita cartão?";"Do you take card?"
"Isto está certo?";"Is this correct?"
"O que você acha que eu devo fazer?";"What do you think I should do?"
"Pode me dar uma informação, por favor?";"Can you give me some information, please?"
"Eu preciso de um favor.";"I need a favor."
"Por que isso não está funcionando?";"Why isn't this working?"
"Você pode me explicar de novo?";"Can you explain it to me again?"
"Para onde vai este trem?";"Where does this train go?"
"Poderia me emprestar seu carregador?";"Could you lend me your charger?"
"O que aconteceu aqui?";"What happened here?"
"Tem certeza disso?";"Are you sure about that?"
"Teria como você verificar para mim?";"Would there be a way for you to check for me?"
"Onde eu posso comprar um bilhete?";"Where can I buy a ticket?"
"Me desculpe, eu não ouvi direito.";"I'm sorry, I didn't hear you correctly."
"Você sabe como consertar isso?";"Do you know how to fix this?"
"Quanto custa?";"How much does it cost?"
"Você pode me ajudar, por favor?";"Can you help me, please?"
"Estou só olhando, obrigado.";"I'm just looking, thank you."
"Onde fica o caixa?";"Where is the cashier?"
"Vocês aceitam cartão de crédito?";"Do you accept credit cards?"
"Vou pagar em dinheiro.";"I'll pay in cash."
"Posso provar esta roupa?";"Can I try this piece of clothing on?"
"Tem um tamanho maior?";"Do you have a larger size?"
"Qual é o preço disso?";"What is the price of this?"
"Tem algum desconto?";"Is there any discount?"
"Isso é para presente.";"This is for a gift."
"Você pode embrulhar?";"Can you gift wrap it?"
"Onde tem um caixa eletrônico por aqui?";"Where is an ATM around here?"
"Preciso sacar dinheiro.";"I need to withdraw money."
"A conta, por favor.";"The bill, please."
"Vou pagar no débito.";"I'll pay with a debit card."
"Pode parcelar a compra?";"Can I pay for the purchase in installments?"
"Em quantas vezes sem juros?";"In how many interest-free installments?"
"Você tem troco para cem reais?";"Do you have change for a hundred reais?"
"CPF na nota?";"Do you want to add your ID number to the receipt?"
"Eu gostaria de trocar este produto.";"I would like to exchange this product."
"Qual é a política de devolução?";"What is the return policy?"
"Onde ficam os provadores?";"Where are the fitting rooms?"
"Vou levar este.";"I'll take this one."
"Está muito caro.";"It's too expensive."
"A loja está em promoção.";"The store is having a sale."
"Você tem isso em outra cor?";"Do you have this in another color?"
"Precisa de sacola?";"Do you need a bag?"
"A senha, por favor.";"The PIN, please."
"Pagamento por aproximação.";"Contactless payment."
"A máquina de cartão não está funcionando.";"The card machine isn't working."
"Pode me dar a nota fiscal?";"Can you give me the receipt?"
"Eu perdi o recibo.";"I lost the receipt."
"O produto veio com defeito.";"The product came with a defect."
"Onde eu encontro a seção de sapatos?";"Where can I find the shoe section?"
"Este preço é negociável?";"Is this price negotiable?"
"Tem desconto para pagamento à vista?";"Is there a discount for paying upfront in cash?"
"Só isso, obrigado.";"That's all, thank you."
"Quanto eu devo?";"How much do I owe?"
"Eu gostaria de fazer uma devolução.";"I'd like to make a return."
"Onde posso pagar?";"Where can I pay?"
"Essa calça está na liquidação.";"These pants are on clearance."
"Aceita Pix?";"Do you accept Pix?"
"A sua via, por favor.";"Your copy, please."
"Me vê duzentos gramas de queijo.";"Give me two hundred grams of cheese."
"O valor total deu oitenta reais.";"The total amount came to eighty reais."
"Posso experimentar este tênis?";"Can I try on this sneaker?"
"Qual o seu número?";"What's your size?"
"Eu calço quarenta.";"I wear size forty."
"A que horas a loja fecha?";"What time does the store close?"
"Com licença, onde fica a estação de metrô mais próxima?";"Excuse me, where is the nearest subway station?"
"Como eu chego no museu, por favor?";"How do I get to the museum, please?"
"Você pode me ajudar? Estou perdido.";"Can you help me? I'm lost."
"Onde eu pego o ônibus para Copacabana?";"Where do I catch the bus to Copacabana?"
"Esse ônibus vai para o centro?";"Does this bus go downtown?"
"Qual é o caminho para o aeroporto?";"What is the way to the airport?"
"É muito longe daqui?";"Is it very far from here?"
"Dá pra ir a pé?";"Is it possible to go on foot?"
"Poderia me mostrar no mapa?";"Could you show me on the map?"
"Estou procurando este endereço.";"I'm looking for this address."
"Siga reto por dois quarteirões.";"Go straight for two blocks."
"Vire à direita na próxima esquina.";"Turn right at the next corner."
"Vire à esquerda no semáforo.";"Turn left at the traffic light."
"Atravesse a rua na faixa de pedestres.";"Cross the street at the crosswalk."
"Fica logo ali na esquina.";"It's right there on the corner."
"É do outro lado da avenida.";"It's on the other side of the avenue."
"Você vai ver um prédio grande à sua direita.";"You will see a big building on your right."
"Passe o banco e continue reto.";"Go past the bank and keep going straight."
"É a terceira rua à esquerda.";"It's the third street on the left."
"Não tem erro.";"You can't miss it."
"Qual é a próxima parada?";"What is the next stop?"
"Eu preciso descer no próximo ponto.";"I need to get off at the next stop."
"Onde eu posso comprar um bilhete de metrô?";"Where can I buy a subway ticket?"
"Este trem para na estação Central?";"Does this train stop at Central station?"
"Quanto custa a passagem de ônibus?";"How much is the bus fare?"
"Qual linha de metrô eu pego pra ir ao Maracanã?";"Which subway line do I take to go to Maracanã?"
"O metrô já fechou?";"Has the subway already closed?"
"De quanto em quanto tempo o ônibus passa?";"How often does the bus run?"
"Preciso fazer baldeação?";"Do I need to transfer?"
"Onde fica o ponto de ônibus mais perto?";"Where is the nearest bus stop?"
"Pode me levar para este endereço, por favor?";"Can you take me to this address, please?"
"Quanto fica a corrida até o hotel?";"How much is the fare to the hotel?"
"Você aceita cartão de crédito?";"Do you accept credit card?"
"Pode chamar um Uber pra mim, por favor?";"Can you call an Uber for me, please?"
"Onde é o ponto de táxi?";"Where is the taxi stand?"
"Pode parar aqui, por favor.";"Can you stop here, please?"
"Eu pedi um carro pelo aplicativo.";"I ordered a car through the app."
"Quanto tempo demora pra chegar?";"How long does it take to get there?"
"O trânsito tá muito ruim?";"Is the traffic very bad?"
"Onde tem um posto de gasolina por aqui?";"Where is there a gas station around here?"
"Preciso encher o tanque.";"I need to fill up the tank."
"Onde eu posso estacionar o carro?";"Where can I park the car?"
"Tem algum estacionamento por perto?";"Is there any parking lot nearby?"
"Qual é o limite de velocidade nesta rua?";"What is the speed limit on this street?"
"A gente tá indo na direção certa?";"Are we going in the right direction?"
"Quanto tempo leva para chegar lá de carro?";"How long does it take to get there by car?"
"Fica a uns dez minutos a pé.";"It's about a ten-minute walk."
"O aeroporto fica longe do centro da cidade?";"Is the airport far from the city center?"
"A rodoviária é perto daqui?";"Is the bus station near here?"
"Por favor, me avise quando for a minha parada.";"Please, let me know when it's my stop."
"Preciso responder uns e-mails agora.";"I need to answer some emails now."
"Tenho uma reunião importante às dez horas.";"I have an important meeting at ten o'clock."
"Estou trabalhando em um novo projeto.";"I'm working on a new project."
"Qual é o prazo para entregar o relatório?";"What is the deadline to turn in the report?"
"Hoje o dia no trabalho foi muito corrido.";"Today was a very busy day at work."
"Vou tirar uma pausa para o café.";"I'm going to take a coffee break."
"Você pode me ajudar com esta tarefa?";"Can you help me with this task?"
"Trabalho em home office a maior parte da semana.";"I work from home most of the week."
"Estou procurando um novo emprego.";"I'm looking for a new job."
"Mandei meu currículo para aquela vaga.";"I sent my resume for that position."
"Tenho uma entrevista de emprego amanhã de manhã.";"I have a job interview tomorrow morning."
"Meu chefe é bem exigente.";"My boss is very demanding."
"Vamos almoçar juntos hoje?";"Shall we have lunch together today?"
"A que horas você sai do trabalho?";"What time do you get off work?"
"A impressora quebrou de novo.";"The printer broke again."
"Preciso terminar isso antes de ir embora.";"I need to finish this before I leave."
"A reunião foi adiada para a próxima semana.";"The meeting was postponed to next week."
"Amanhã tenho prova de história.";"I have a history test tomorrow."
"Preciso estudar para o exame final.";"I need to study for the final exam."
"Você fez a lição de casa?";"Did you do the homework?"
"O professor explicou a matéria muito bem.";"The teacher explained the subject matter very well."
"Vou estudar na biblioteca com uns amigos.";"I'm going to study at the library with some friends."
"Qual é a sua matéria preferida?";"What is your favorite subject?"
"Eu faço faculdade de Administração.";"I'm studying Business Administration in college."
"Em que semestre da faculdade você está?";"What semester of college are you in?"
"Faltei na aula de ontem porque estava doente.";"I missed yesterday's class because I was sick."
"Tenho que entregar meu TCC no mês que vem.";"I have to submit my final paper next month."
"As aulas voltam em agosto.";"Classes start back in August."
"Estou no último ano do ensino médio.";"I'm in the last year of high school."
"As notas da prova já saíram?";"Are the test grades out yet?"
"É difícil conciliar o trabalho com os estudos.";"It's difficult to balance work with studies."
"Estou fazendo um curso online de marketing digital.";"I'm taking an online course in digital marketing."
"Consegui um estágio na minha área.";"I got an internship in my field."
"Preciso aprender a usar esse novo software.";"I need to learn how to use this new software."
"Tenho que fazer uma apresentação para a equipe.";"I have to give a presentation to the team."
"Meu computador travou no meio do trabalho.";"My computer froze in the middle of my work."
"O trânsito para o trabalho estava horrível hoje.";"The traffic to work was horrible today."
"Você trabalha ou estuda?";"Do you work or study?"
"Preciso focar mais nos meus estudos.";"I need to focus more on my studies."
"O prazo do projeto está muito apertado.";"The project's deadline is very tight."
"Vou me formar no final do ano.";"I'm going to graduate at the end of the year."
"Que horas começa a sua aula?";"What time does your class start?"
"Vou tirar uns dias de folga na semana que vem.";"I'm going to take a few days off next week."
"Preciso organizar minha agenda para não me perder.";"I need to organize my schedule so I don't get lost."
"Estou de férias da faculdade este mês.";"I'm on break from college this month."
"O ambiente de trabalho aqui é muito bom.";"The work environment here is very good."
"Onde você trabalha?";"Where do you work?"
"Passei na prova com uma nota boa.";"I passed the test with a good grade."
"A carga horária é de oito horas por dia.";"The workload is eight hours per day."
"Temos que trabalhar em equipe para terminar a tempo.";"We have to work as a team to finish on time."
"Oi, tudo bem?";"Hi, how are you?"
"E aí, beleza?";"Hey, what's up?"
"Como você tá?";"How are you doing?"
"Prazer em te conhecer.";"Nice to meet you."
"Faz tempo que a gente não se vê, hein?";"It's been a while since we've seen each other, huh?"
"Como foi o seu dia?";"How was your day?"
"Alguma novidade?";"Any news?"
"A semana tá muito corrida?";"Is the week very busy?"
"Tudo tranquilo por aí?";"Is everything cool over there?"
"Que calor, né?";"It's so hot, isn't it?"
"Nossa, tá um frio hoje!";"Wow, it's so cold today!"
"Parece que vai chover mais tarde.";"It looks like it's going to rain later."
"O tempo melhorou bastante.";"The weather has improved a lot."
"Você é daqui?";"Are you from around here?"
"Eu moro aqui perto.";"I live nearby."
"Você trabalha com o quê?";"What do you do for a living?"
"Como estão as coisas no trabalho?";"How are things at work?"
"Você gosta do que faz?";"Do you like what you do?"
"O que você vai fazer no fim de semana?";"What are you going to do on the weekend?"
"Tem algum plano pra hoje à noite?";"Do you have any plans for tonight?"
"Como foi seu feriado?";"How was your holiday?"
"Vamos marcar de tomar um café qualquer dia.";"Let's plan to have a coffee sometime."
"O que você gosta de fazer no seu tempo livre?";"What do you like to do in your free time?"
"Você já assistiu aquela série nova?";"Have you watched that new series?"
"Pode me recomendar um bom filme?";"Can you recommend a good movie?"
"Que tipo de música você curte?";"What kind of music are you into?"
"Você torce pra que time?";"Which team do you root for?"
"A comida aqui é muito boa.";"The food here is very good."
"Você já veio aqui antes?";"Have you been here before?"
"Quer uma bebida?";"Do you want a drink?"
"Esse lugar é bem legal.";"This place is really nice."
"O trânsito estava horrível hoje.";"The traffic was horrible today."
"Demorei um pouco pra chegar.";"It took me a while to get here."
"E a sua família, tudo bem?";"And your family, is everyone okay?"
"Manda um abraço pra todo mundo.";"Send a hug to everyone."
"Gostei muito da sua camisa.";"I really liked your shirt."
"Que legal isso que você falou.";"That's really cool, what you said."
"Sério? Não sabia disso.";"Really? I didn't know that."
"Pois é, né?";"Yeah, right?"
"Com certeza.";"For sure."
"Entendi.";"I see."
"Falando nisso, você viu o jogo ontem?";"Speaking of which, did you see the game yesterday?"
"Bom, eu preciso ir agora.";"Well, I need to go now."
"Foi bom te ver!";"It was good to see you!"
"A gente se fala.";"We'll talk later."
"Até mais!";"See you later!"
"Se cuida!";"Take care!"
"Tenha uma boa noite.";"Have a good night."
"Bom trabalho pra você.";"Have a good day at work."
"Até a próxima!";"Until next time!"
